palabra,frecuencia
blanca,3487
fruta,3185
amarillo,2844
boca,2630
acidez,2561
color,2319
cítrico,2042
nariz,2014
nota,1852
fresco,1700
aroma,1508
brillante,1507
final,1423
pajizo,1391
dorado,1226
seco,1182
bodega,1053
toque,991
botella,975
flor,969
intensidad,969
verdoso,938
manzana,937
rcp,926
mineral,923
untuoso,921
crianza,919
largo,912
barrica,876
persistencia,870
herbáceo,857
tropical,836
limpio,818
albariño,804
año,791
pálido,758
floral,748
madura,725
fondo,668
ligero,659
reflejo,649
destello,646
verdejo,611
suave,564
lágrima,560
salino,544
hierba,537
tostado,510
intenso,500
uva,497
hueso,483
probar,478
recomendable,477
correcto,475
cuerpo,471
volúmen,470
mejor,469
elaborado,465
frutal,465
chardonnay,458
agradable,457
amargo,452
joven,448
añada,440
francés,439
poder,431
fina,429
roble,429
melocotón,426
entrada,425
pera,419
alta,418
garnacha,404
cata,393
verde,388
piña,375
gustar,374
punto,373
glicérico,361
hinojo,358
coupage,358
monovarietal,355
elegante,354
dulce,342
paladar,341
nueva,340
limón,332
recordar,329
fácil,326
aromático,325
madera,325
inoxidable,312
variedad,312
excelente,308
ver,304
copa,303
beber,301
baja,294
persistente,294
complejo,293
anisado,290
primer,286
marcada,282
viñedo,282
pomelo,282
macabeo,276
equilibrado,273
godello,272
tiempo,266
vez,266
leve,261
sensación,259
ahumado,254
guardar,249
pequeña,249
menos,247
anterior,241
precio,238
creer,238
sabroso,236
gusto,234
mismo,233
viura,232
casa,230
paso,225
cremoso,224
grande,223
estupendo,222
salud,221
tomar,219
albaricoque,218
viña,218
amplio,216
sedoso,215
vainilla,210
densa,209
amargor,209
frescor,207
sabor,206
balsámico,204
producción,203
graso,203
interesante,201
bastante,198
ligeramente,191
fermentación,187
afrutado,183
goloso,182
diferente,179
zona,178
vieja,174
varietal,170
etiqueta,169
malvasía,167
sutil,166
sauvignon,164
tono,163
levadura,160
bollería,159
complejidad,157
mineralidad,156
piel,156
refrescante,155
oro,154
especiado,154
opción,153
xarel,153
treixadura,153
restaurante,151
repetir,150
depósito,147
especia,147
recuperar,147
tacto,146
parecer,146
miel,145
mejorar,145
corto,145
paciencia,144
adaptación,143
finca,143
duda,143
invulnerabilidad,142
estoicismo,142
resistencia,142
superación,142
fortaleza,142
mal,141
fuerza,141
ribete,141
integrada,140
rojo,140
sobrevivir,140
ácido,137
sobreponer,136
lima,134
fermentado,133
tierra,132
momento,131
soler,131
vigor,131
energía,131
firmeza,130
valiente,130
