palabra,frecuencia,degree,weighted_degree,betweenness,closeness,eigenvector,comunidad
blanca,3487,944,84600,0.0038086710466712008,0.9512428298279159,0.27489303974279305,0
fruta,3185,909,83068,0.00452153144060681,0.9195933456561922,0.2884426194394069,3
amarillo,2844,878,75824,0.008081900160888748,0.8939802336028752,0.27527871559469935,3
boca,2630,853,68890,0.008269979526310431,0.8751099384344767,0.2567726577520322,3
acidez,2561,825,64040,0.010642454284544847,0.8540772532188842,0.23865105199653647,3
color,2319,814,62704,0.013617222620854009,0.8453695836873407,0.24025606800425722,3
nariz,2014,755,54340,0.01063386890116734,0.8050161812297735,0.2146726569433485,3
cítrico,2042,786,54016,0.010322609005773723,0.8264119601328903,0.20442484723123636,3
nota,1852,783,47753,0.01378701043249077,0.824357912178956,0.1745144559384214,3
fresco,1700,723,42486,0.015254800640155894,0.7847003154574133,0.16228316044684202,3
brillante,1507,679,41938,0.011043285661522803,0.7589626239511823,0.1669650273738128,3
aroma,1508,678,41346,0.009063758682329809,0.7578065498857578,0.16344945872906347,3
final,1423,617,39142,0.009365126584015839,0.7241630276564774,0.16162890963309487,3
pajizo,1391,665,37257,0.013003955842680224,0.7503770739064857,0.15007366852290424,3
dorado,1226,671,33783,0.011241965382027352,0.7537878787878788,0.12599028724769817,3
seco,1182,581,30443,0.008429254082560579,0.7056737588652482,0.1219251289086873,3
manzana,937,526,26729,0.006634095115049903,0.6791808873720137,0.10838723319540021,3
toque,991,603,26124,0.009997307873853032,0.7168587896253602,0.09516484190879353,3
flor,969,581,26089,0.011457045136238518,0.7056737588652482,0.10537605919743792,3
verdoso,938,524,26025,0.00784075835105511,0.678254942058623,0.10814405741483978,3
intensidad,969,431,25648,0.004926812342975569,0.6378205128205128,0.11624489675625933,3
largo,912,518,25270,0.0072744159945892966,0.6754921928038018,0.10095891324719518,3
untuoso,921,538,24576,0.00962843326430438,0.6847900894700619,0.09627952842973256,3
mineral,923,500,23831,0.007103205602378079,0.6673373574782026,0.09928338321597092,3
rcp,926,482,23536,0.025729806903239283,0.659377070907886,0.09051336834785098,3
bodega,1053,796,23450,0.02388804955991496,0.8326359832635983,0.05727861651081616,0
limpio,818,368,23291,0.003599020114190102,0.6130622304374614,0.10728577654467221,3
crianza,919,652,23086,0.013857672043430176,0.743091859596714,0.07006309279015288,0
herbáceo,857,502,22185,0.009730379309297592,0.6682337139019476,0.0906050847694219,3
barrica,876,622,22134,0.014355417468763527,0.7268078889700511,0.06534360146307115,0
persistencia,870,408,21852,0.003632009777413342,0.6285533796588756,0.09369723019090602,3
tropical,836,469,21722,0.00633657173864195,0.6537450722733246,0.090200167015212,3
botella,975,696,21585,0.02084150767927309,0.7683397683397684,0.05934589122832556,0
fondo,668,395,19841,0.008907298368476433,0.6234335839598998,0.06844810601026055,2
destello,646,275,19502,0.00218049983820171,0.5798368298368298,0.09163152022701143,3
madura,725,463,19464,0.007825918158925048,0.6511780104712042,0.07823794877697006,3
pálido,758,482,19172,0.0066516674017361235,0.659377070907886,0.07827004837508507,3
floral,748,470,18672,0.006379089960612743,0.6541748849441157,0.07561428268137298,3
lágrima,560,357,17395,0.0031243242604897387,0.6089351285189718,0.07222114356401137,3
reflejo,649,416,16915,0.0025834635850772183,0.6317460317460317,0.06939200360644893,3
albariño,804,556,16493,0.013924959039679394,0.6933797909407665,0.05234871501516789,0
año,791,661,16401,0.02906377487528242,0.7481203007518797,0.04190031667280754,0
ligero,659,433,16311,0.0049618110655280006,0.6386392811296534,0.06663391115302827,3
hierba,537,441,15129,0.006181030644285884,0.6419354838709678,0.05798709474060306,3
suave,564,439,14223,0.006000856256324157,0.6411082474226805,0.05470278299994933,3
salino,544,371,13694,0.00438648491108506,0.6141975308641975,0.05844322663324335,3
tostado,510,368,13519,0.0043686040227660814,0.6130622304374614,0.05272124594605954,3
uva,497,479,13418,0.00891918537099679,0.658068783068783,0.04485803080053178,3
verdejo,611,494,13340,0.010339773339039491,0.6646626586506346,0.042742544355864526,0
entrada,425,308,12856,0.0018790505824791053,0.5912061794414736,0.05248334449277745,3
elaborado,465,413,12600,0.006165911770042863,0.6305449936628644,0.04442364799409897,3
intenso,500,476,12258,0.010267269091278404,0.6567656765676567,0.042004077241062344,0
hueso,483,346,12152,0.003966395497367491,0.6048632218844985,0.05193692380589893,3
agradable,457,364,11892,0.0038208467983920024,0.6115550092194223,0.04886485417480052,3
fina,429,340,11866,0.0029716708885519716,0.6026650514839491,0.048174369636976494,3
cuerpo,471,334,11841,0.0029262863288001587,0.6004828002414001,0.051424117021792344,3
amargo,452,345,11774,0.0034922985808685005,0.6044957472660997,0.0485183016769471,3
pera,419,314,11700,0.0020595678583243218,0.5933214072748957,0.050366844887803276,3
volúmen,470,314,11369,0.002230533440119924,0.5933214072748957,0.0446902570928015,0
francés,439,412,11340,0.006064533707090965,0.630145661811273,0.03599034403651367,0
melocotón,426,326,11329,0.0022046004886406693,0.5975975975975976,0.04748727921532833,3
roble,429,375,11192,0.005033959406533325,0.6157178217821783,0.03735262721197236,0
frutal,465,377,10581,0.0047326410942753055,0.6164807930607187,0.04022555263637737,3
verde,388,358,10488,0.0028384673160880966,0.6093080220453154,0.04114905902355974,3
chardonnay,458,420,10316,0.006569816601998701,0.6333545512412476,0.03379950562747162,0
paladar,341,291,10211,0.0025171256575250247,0.5852941176470589,0.04029542858586052,3
piña,375,309,9871,0.0020311101171933098,0.5915576694411415,0.04049476922137225,3
alta,418,346,9752,0.003941160579333692,0.6048632218844985,0.035537534352882434,0
joven,448,383,9627,0.005390217713659307,0.6187810945273632,0.0345624028119314,0
correcto,475,309,9396,0.003452414882007732,0.5919095776323617,0.038346106587328975,3
hinojo,358,314,9202,0.003040827563511974,0.5933214072748957,0.03748504896540789,3
garnacha,404,381,9021,0.0067039517641142386,0.6180124223602484,0.028357724275052787,0
glicérico,361,344,8982,0.0052518083161681,0.6041287188828173,0.03272368947727666,0
probar,478,423,8844,0.008440852975030106,0.6345663265306123,0.0241805717201783,0
elegante,354,302,8696,0.0021795600456981667,0.5891059798697454,0.03444184282628043,3
recomendable,477,308,8632,0.0033332339822388754,0.5912061794414736,0.031533605521394864,0
punto,373,382,8574,0.006079907317770696,0.6183965195773773,0.029912663671920615,0
limón,332,310,8548,0.0035375759482238855,0.5919095776323617,0.033947678858643554,3
mejor,469,436,8427,0.012216519529883089,0.639871382636656,0.023457995946158182,0
dulce,342,358,8369,0.0037951647916068926,0.6093080220453154,0.030517296207002078,3
aromático,325,319,8059,0.0015950706302119814,0.5950956937799043,0.030460355424998087,3
coupage,358,314,8017,0.0030766590762944966,0.5933214072748957,0.029217331016902322,0
pomelo,282,266,7964,0.0015626103236874268,0.5768115942028985,0.03393552059489828,3
poder,431,403,7934,0.010443941034653653,0.6265743073047859,0.01669388436278366,0
añada,440,413,7912,0.009669619931534963,0.6305449936628644,0.020535895725414657,0
persistente,294,232,7524,0.0015533111971488727,0.5656623081296192,0.033210577671277795,3
madera,325,330,7302,0.00374308050758914,0.5990367248645394,0.024601837085519485,0
cata,393,395,7266,0.01342274186878738,0.6234335839598998,0.02067187802984767,0
anisado,290,237,7180,0.0014174233911747125,0.5672748004561003,0.030280711022541904,3
inoxidable,312,358,7164,0.007633941211767814,0.6093080220453154,0.02206740336996009,0
recordar,329,297,7131,0.002507620278652137,0.5873671782762692,0.02843145076347299,3
baja,294,323,6993,0.003998239500753024,0.5965227817745803,0.025381087570796015,3
monovarietal,355,236,6961,0.0011217469904301345,0.5669515669515669,0.027985085881220475,0
gustar,374,365,6930,0.005242430852036313,0.6119311193111932,0.019689715636586752,0
variedad,312,312,6756,0.0030301746900469684,0.5926146515783204,0.01863787396367868,2
leve,261,237,6682,0.0012197518980906746,0.5672748004561003,0.02955941827813632,3
fácil,326,314,6578,0.003184185740165255,0.5933214072748957,0.022738304429833166,0
salud,221,169,6519,0.0008733503770519272,0.544013121924549,0.027660265460911878,3
marcada,282,262,6398,0.0027128987954450944,0.5754771544245229,0.027348960839726835,3
ahumado,254,237,6356,0.0014601732559715293,0.5672748004561003,0.02650318835010208,3
viñedo,282,337,6303,0.004784317116143891,0.601571946795647,0.018279083402641862,0
excelente,308,304,6300,0.005221198711261694,0.5898043864848844,0.022832684298087925,0
complejo,293,306,6293,0.00322351324502386,0.5905044510385756,0.022479017523261043,0
sedoso,215,212,6180,0.0012703592516736919,0.5593029792017987,0.02610042147416285,3
nueva,340,352,6178,0.0059118265585566656,0.6070774862721171,0.017576399417860367,0
copa,303,329,6043,0.00574277326061765,0.598676293622142,0.013676197266093475,2
sensación,259,271,5976,0.0022793262159730397,0.5784883720930233,0.02381298079855801,3
densa,209,216,5957,0.0013521138759078578,0.5605633802816902,0.024720007763706205,3
equilibrado,273,239,5844,0.0024273372557858824,0.5679223744292238,0.026077346940513137,3
macabeo,276,293,5783,0.005765092649747835,0.5859835100117785,0.01991939952381885,0
sabroso,236,205,5614,0.0010666995263811415,0.5571108622620381,0.025884808799070496,3
