palabra,frecuencia
rosado,334
fruta,263
color,254
rojo,219
boca,215
fresco,203
acidez,185
nariz,182
nota,138
fresa,124
aroma,120
brillante,120
bodega,118
rosa,110
floral,90
rcp,84
final,82
frambuesa,82
blanca,77
tempranillo,74
suave,74
toque,73
garnacha,71
botella,71
ligero,69
seco,68
elaborado,67
limpio,62
agradable,61
largo,61
pálido,58
intenso,58
flor,53
cítrico,53
cereza,52
año,50
frutal,50
coupage,49
golosina,49
herbáceo,47
persistencia,47
cuerpo,47
intensidad,46
cata,46
uva,45
fácil,44
crianza,44
poder,43
recordar,43
merlot,43
cebolla,43
gustar,42
dulce,42
correcto,42
probar,41
entrada,40
pequeña,39
mejor,39
joven,39
syrah,38
paladar,38
piel,37
mineral,37
fondo,37
barrica,37
baja,36
goloso,36
untuoso,36
salmón,35
menos,35
ácido,34
beber,33
interesante,32
sensación,32
sangrado,32
añada,31
lágrima,31
fina,30
copa,30
volúmen,30
sabroso,29
tinto,29
vez,29
anaranjado,28
postgusto,28
elegante,28
sabor,28
nueva,28
destello,28
leve,27
punto,27
grande,27
salud,26
mismo,26
grosella,25
madura,25
variedad,25
primer,25
creer,24
marcada,24
amargo,24
producción,24
afrutado,24
bastante,24
negro,24
glicérico,24
monovarietal,24
tiempo,23
francés,23
especiado,23
gusto,23
fuerza,23
alta,22
ver,22
paciencia,22
vigor,21
valiente,21
recuperar,21
precio,21
balsámico,21
inoxidable,21
recomendable,21
equilibrado,21
paso,21
sufrimiento,20
firmeza,20
flema,20
sobreponer,20
resistencia,20
energía,20
tolerancia,20
adaptación,20
estoicismo,20
resignación,20
invulnerabilidad,20
sutil,20
sobrevivir,20
impertable,20
superación,20
fortaleza,20
estilo,19
potencia,19
último,19
tomar,19
roble,19
excelente,19
junto,19
etiqueta,18
caramelo,18
maceración,18
asalmonado,18
claro,18
melocotón,17
anterior,17
parecer,17
aromático,17
potente,17
azúcar,17
corto,17
intrépido,16
sedoso,16
verdot,16
viura,16
bravo,16
alcohol,16
viñedo,16
naranja,16
invencible,16
maridaje,15
memorable,15
hermano,15
frescor,15
dulzor,15
épico,15
esforzado,15
fermentación,15
manzana,15
vitalidad,15
capa,15
finca,15
monastrell,15
casa,15
cabernet,15
rico,15
indomable,15
denodado,15
osado,15
aguante,15
ribete,15
soler,14
madera,14
ecológico,14
piruleta,14
catar,14
clásico,14
tostado,14
refrescante,14
entereza,14
albillo,14
sauvignon,14
viña,14
verano,14
tinta,14
diferente,14
tanino,14
opinión,13
guerrear,13
mora,13
contar,13
picudo,13
prieto,13
batallar,13
deber,13
mal,13
hueso,13
carácter,13
curioso,13
mayor,13
mantonegro,13
matiz,13
ligeramente,13
frío,13
duda,13
amigo,12
lácteo,12
mosto,12
carbónica,12
método,12
estructura,12
fermentado,12
natural,12
especia,12
especial,12
comida,12
opción,12
pétalo,12
espumoso,12
persistente,12
burbuja,12
bonito,12
poca,12
corcho,12
oscuro,11
repetir,11
equilibrio,11
familia,11
caso,11
vainilla,11
reflejo,11
amplio,11
familiar,11
hora,11
temperatura,11
ideal,11
encontrar,11
saber,11
rápida,11
complejo,11
cs,11
normal,11
clarete,11
violeta,11
gracia,11
ocasión,11
exceso,11
faltar,10
combatir,10
atractivo,10
bosque,10
mineralidad,10
verdejo,10
marca,10
propia,10
forma,10
hecho,10
pelear,10
semana,10
delicado,10
cosa,10
típico,10
esperar,10
aguja,10
demasiado,10
mencía,10
destacar,10
vieja,10
restaurante,10
pasar,9
justo,9
vid,9
remitir,9
trepat,9
provenzal,9
enomatic,9
vivir,9
palo,9
sorpresa,9
tono,9
complejidad,9
decir,9
magnífico,9
gruesa,9
mar,9
enólogo,9
presente,9
alma,9
moda,9
cosecha,9
verde,9
hijo,9
caída,9
caliza,9
contender,8
trabajo,8
llevar,8
hinojo,8
cápsula,8
antigua,8
límpido,8
xarel,8
igual,8
poner,8
cariñena,8
directo,8
calor,8
depósito,8
perfecto,8
disputar,8
violáceo,8
callet,8
tipo,8
estrella,8
vista,7
hierba,7
dulzón,7
respecto,7
estantería,7
precarga,7
luminoso,7
gominola,7
buscar,7
ahumado,7
gama,7
elaborar,7
envolvente,7
estupendo,7
peculiar,7
sorprender,7
tarjeta,7
vegetal,7
plantada,7
mano,7
arándano,7
prensado,7
alcohólica,7
sandía,7
glicerina,7
láctico,7
pie,7
plástico,7
bordelesa,7
densa,7
habitual,7
gustazo,7
diferencia,7
cena,7
posterior,7
gastronómico,7
poco,7
zona,7
moscatel,6
mantener,6
pena,6
valle,6
extracción,6
ir,6
guardar,6
acabar,6
visita,6
integrada,6
macerado,6
salino,6
redondo,6
levadura,6
evolución,6
aportación,6
grau,6
licor,6
abrir,6
estructurado,6
moderno,6
valer,6
transparente,6
viva,6
cumple,6
sencillo,6
apreciar,6
cava,6
altitud,6
situado,6
piedra,6
mundo,6
mira,6
rubí,6
dar,6
tratar,6
pinot,6
enfrentar,6
principio,6
malo,6
ancestral,6
arcilloso,6
contraetiqueta,6
altura,6
varietal,6
granada,6
amargor,6
bierzo,6
venir,6
aluminio,6
menú,6
picota,6
aceptable,6
grado,6
personal,6
calidad,6
queso,6
tropical,6
subido,6
macabeo,6
valoración,5
palafrugell,5
empezar,5
agradar,5
lineal,5
plano,5
anisado,5
mallorca,5
divertido,5
noche,5
sorprendente,5
frutalidad,5
litro,5
albaricoque,5
vida,5
elaboración,5
indie,5
gustoso,5
graciano,5
orígen,5
procedente,5
común,5
somontano,5
recorrido,5
difícil,5
amarillo,5
tierra,5
original,5
bobet,5
conocido,5
predominar,5
salvo,5
rojizo,5
acero,5
placer,5
plato,5
limitado,5
aterciopelada,5
expresivo,5
silvestre,5
cremoso,5
vinoso,5
resultado,5
bobal,5
maridar,5
favorito,5
simple,5
expectativa,5
combinar,5
aperitivo,5
línea,5
inicio,5
base,5
llamar,5
producto,5
época,5
historia,5
mayoría,5
resto,5
disfrutar,5
agua,5
característica,5
embotellado,5
completo,5
contacto,5
empordà,5
trabajar,5
entrar,5
ambiente,4
medida,4
guinda,4
curiosidad,4
nacer,4
retrogusto,4
número,4
particular,4
aglomerado,4
azul,4
acertado,4
personalmente,4
grano,4
toledo,4
olor,4
conseguir,4
mezcla,4
terraza,4
siglo,4
imposible,4
lonja,4
placentero,4
personalidad,4
hormigón,4
vaso,4
cerrado,4
diseño,4
falto,4
bilbao,4
lejos,4
selección,4
terreno,4
tradición,4
momento,4
arcilla,4
prensa,4
atención,4
visto,4
calcáreo,4
reposar,4
edificio,4
hollejo,4
llegar,4
comercial,4
manto,4
seguro,4
reconocer,4
serio,4
parecido,4
pera,4
comentario,4
genial,4
controlada,4
empalagoso,4
ciruela,4
fama,4
apetecer,4
adecuado,4
destaca,4
sacar,4
parellada,4
montsant,4
resultón,4
muestra,4
concreto,4
regaliz,4
sotobosque,4
tema,4
verdad,4
mujer,4
gratallops,4
listar,4
compañía,4
invitar,4
actual,4
levemente,4
presencia,4
acompañar,4
pesar,4
excesivo,4
pomelo,4
grupo,4
entender,4
pesado,4
señor,4
maravilla,4
regalo,4
menor,4
hablar,4
mejorar,4
suficiente,4
top,4
resultar,4
mercado,4
foto,4
cepa,4
autóctona,3
heredia,3
vinícola,3
campo,3
dorado,3
degustación,3
festival,3
distinto,3
escasa,3
ronda,3
contenido,3
terra,3
segre,3
camino,3
pescado,3
perfectamente,3
notable,3
haro,3
mediterráneo,3
rey,3
encantado,3
vacaciones,3
españa,3
octubre,3
técnica,3
música,3
porcentaje,3
comer,3
sierra,3
partir,3
parcela,3
alegre,3
aportar,3
lugar,3
tomate,3
palomino,3
graso,3
plaza,3
garraf,3
cálido,3
pla,3
definir,3
garcía,3
despalillar,3
conocer,3
duero,3
aire,3
aspecto,3
costar,3
metro,3
jornada,3
catado,3
convencer,3
nivel,3
costa,3
proyecto,3
esparreguera,3
total,3
espaldera,3
bajos,3
menudo,3
obra,3
par,3
excepción,3
clara,3
gris,3
llevaba,3
predominio,3
perder,3
colección,3
mix,3
gravedad,3
juan,3
estridencia,3
binissalem,3
sábado,3
oportunidad,3
puro,3
fuerte,3
posible,3
suponer,3
pimienta,3
moderado,3
ganar,3
impresionante,3
maestro,3
público,3
complicación,3
fantástico,3
cocina,3
escarchada,3
notar,3
caer,3
pasado,3
magnum,3
cooperativa,3
pago,3
venta,3
económico,3
concentrado,3
consumo,3
necesitar,3
acompañante,3
postre,3
flojo,3
presentar,3
club,3
aguantar,3
huella,3
permanecer,3
americano,3
encantar,3
parada,3
arroz,3
lado,3
nevera,3
cantidad,3
punta,3
pelo,3
tienda,3
amable,3
carta,3
conservar,3
leer,3
similar,3
malvasía,3
decepción,3
gracía,3
preferir,3
aparecer,3
residual,3
puntuación,3
prestigio,3
subir,3
local,3
cultivo,3
excepcional,3
mentolado,3
dedicado,3
pedir,3
longitud,3
complicado,2
compartida,2
servido,2
amante,2
justa,2
ingente,2
liviano,2
realizar,2
figuera,2
sara,2
agradecer,2
coca,2
acompañado,2
realidad,2
marcos,2
muga,2
lote,2
peso,2
evolucionar,2
comprado,2
digno,2
cargar,2
chispeante,2
verdoso,2
hondarrabi,2
tradicional,2
limón,2
licoroso,2
ciegas,2
restante,2
parafinado,2
sacra,2
conjunto,2
manera,2
alejado,2
principal,2
volcánico,2
chocolate,2
zuri,2
combinación,2
razonable,2
tino,2
homenaje,2
maridado,2
ensalada,2
conca,2
extremado,2
sorprendido,2
tomas,2
edad,2
pueblo,2
hacer,2
perdido,2
racimo,2
entero,2
requena,2
monte,2
precioso,2
previa,2
sutilmente,2
azulado,2
fournier,2
cobeja,2
amoratado,2
torres,2
llamativo,2
navidad,2
mesa,2
piña,2
confirmar,2
anís,2
gente,2
plantar,2
ebro,2
propiedad,2
exportación,2
pastelería,2
volcánica,2
carnosidad,2
sobrio,2
ciudad,2
tomado,2
jazmín,2
medio,2
dudar,2
tapón,2
cristal,2
puerto,2
comprar,2
igp,2
pan,2
fragante,2
vermell,2
franc,2
abundante,2
ladera,2
probable,2
manuel,2
esencia,2
almuerzo,2
marisco,2
encus,2
isla,2
profundidad,2
valorar,2
grata,2
amplitud,2
fluido,2
elaborador,2
voluminoso,2
explosivo,2
elección,2
referencia,2
pimiento,2
modo,2
puesto,2
trato,2
detalle,2
impresión,2
teja,2
bebido,2
vintage,2
mango,2
límite,2
retro,2
aniversario,2
alguien,2
singular,2
hotel,2
convencido,2
real,2
gloria,2
bar,2
morado,2
cal,2
premio,2
tope,2
cenar,2
raspón,2
constar,2
transmitir,2
carne,2
bien,2
corte,2
arrendada,2
sumar,2
