palabra,frecuencia,degree,weighted_degree,betweenness,closeness,eigenvector,comunidad
fruta,263,155,4970,0.0016636957813428402,0.8506787330316742,0.30831805969071674,1
rosado,334,157,4912,0.012996922194866254,0.8584474885844748,0.27873710005692276,2
color,254,150,4759,0.0006788789016573748,0.831858407079646,0.2981934599407216,1
rojo,219,151,4264,0.012669155347503284,0.8355555555555556,0.27473972884369235,1
boca,215,149,4235,0.005702564713828795,0.8281938325991189,0.27539182843787685,1
fresco,203,149,3686,0.011807876766916477,0.8281938325991189,0.23883691758864925,1
nariz,182,143,3604,0.011914604655530804,0.8068669527896996,0.241054936393429,1
acidez,185,143,3524,0.010441149380448501,0.8068669527896996,0.2294947689795955,1
nota,138,130,2544,0.04749243736756539,0.7642276422764228,0.17275247912712177,1
fresa,124,124,2393,0.012854135851632713,0.746031746031746,0.16263946713364735,1
brillante,120,117,2385,0.01574404155588888,0.7258687258687259,0.1693032128055762,1
aroma,120,106,2290,0.0084182765503166,0.6962962962962963,0.16266183347260277,1
rosa,110,120,2212,0.023609756162911805,0.704119850187266,0.15183457968166308,1
floral,90,103,1734,0.013777744644453029,0.6619718309859155,0.1269526690428637,1
final,82,88,1630,0.01009572752376257,0.6527777777777778,0.1196852003784418,1
rcp,84,94,1580,0.007985759894395691,0.6006389776357828,0.11555737191474261,1
frambuesa,82,102,1566,0.00764282477361326,0.6861313868613139,0.11070945500767693,1
bodega,118,111,1438,0.037090503965410825,0.7094339622641509,0.0893963682602388,2
toque,73,87,1325,0.0059451082917916466,0.5875,0.09451584555279413,1
suave,74,89,1315,0.013010564990312392,0.6308724832214765,0.09766090787358092,1
limpio,62,73,1304,0.0011908825425721544,0.6204620462046204,0.1016900575898254,1
blanca,77,99,1271,0.012793427101084396,0.6527777777777778,0.08496981660315987,2
tempranillo,74,90,1207,0.02115780548196067,0.632996632996633,0.08407089682510972,2
elaborado,67,84,1137,0.016478507807157265,0.6204620462046204,0.08178655974952972,1
largo,61,83,1127,0.017701127963956502,0.618421052631579,0.0828458957835278,1
agradable,61,74,1073,0.0037688013936733934,0.5645645645645646,0.08465758225653208,1
seco,68,74,1052,0.005613754205744193,0.6225165562913907,0.08165287153050388,1
garnacha,71,75,1021,0.00680924207207061,0.6025641025641025,0.07322092176225951,2
pálido,58,75,991,0.015320912489989931,0.6025641025641025,0.07690213467515326,1
ligero,69,80,986,0.014055426306903193,0.6351351351351351,0.07548630915519271,1
cítrico,53,68,895,0.012689451161203392,0.6103896103896104,0.07113685699349903,1
flor,53,80,887,0.020674996676248256,0.6351351351351351,0.06452752261426672,1
intenso,58,68,857,0.010364664885941486,0.5893416927899686,0.06866604122278709,1
fondo,37,63,854,0.08241811616002265,0.6006389776357828,0.021167884695250577,0
cereza,52,70,845,0.012940200878248433,0.5930599369085173,0.06567614660966425,1
persistencia,47,64,842,0.014580636390936805,0.6025641025641025,0.06641404572085062,1
intensidad,46,60,836,0.0032651068164209584,0.5949367088607594,0.06804496175735933,1
botella,71,72,835,0.014237920075129116,0.5968253968253968,0.057983283511309075,2
entrada,40,56,835,0.004010945565729955,0.5356125356125356,0.06530086714346015,1
herbáceo,47,68,776,0.013420857516356112,0.5893416927899686,0.05875021456616001,1
