source,target,weight
rojo,fruta,7640
fruta,color,7025
fruta,boca,6803
acidez,fruta,6627
tanino,fruta,5997
boca,color,5888
capa,fruta,5789
nariz,boca,5513
fruta,madura,5362
nariz,color,5334
nariz,fruta,5298
rojo,boca,5291
fruta,negro,5274
rojo,color,5236
acidez,tanino,5163
capa,color,5137
acidez,color,4983
barrica,fruta,4907
acidez,rojo,4803
tanino,color,4787
fruta,crianza,4784
rojo,capa,4707
picota,fruta,4578
acidez,boca,4558
capa,boca,4500
rojo,tanino,4478
alta,fruta,4425
acidez,capa,4387
tanino,capa,4354
tanino,boca,4348
alta,capa,4317
nota,fruta,4290
rojo,nariz,4244
picota,color,4156
fruta,ribete,4125
barrica,roble,4100
roble,fruta,4064
color,ribete,4014
barrica,crianza,3965
boca,ribete,3944
picota,capa,3918
fruta,final,3856
nariz,capa,3847
nariz,ribete,3799
alta,color,3793
nota,color,3791
fruta,aroma,3757
rojo,madura,3699
boca,madura,3697
fruta,especia,3676
nota,boca,3665
picota,rojo,3643
fruta,rcp,3626
tostado,fruta,3625
color,madura,3609
rojo,nota,3597
rojo,crianza,3591
acidez,nariz,3562
barrica,rojo,3557
tanino,nariz,3554
aroma,boca,3515
color,negro,3500
aroma,color,3480
fruta,lágrima,3470
capa,ribete,3466
picota,boca,3453
rojo,ribete,3452
rojo,negro,3418
acidez,negro,3410
tanino,negro,3408
tanino,madura,3399
cereza,fruta,3385
francés,roble,3384
largo,fruta,3377
picota,tanino,3374
acidez,alta,3349
acidez,madura,3345
nariz,nota,3340
rojo,alta,3319
francés,fruta,3303
tanino,alta,3293
acidez,picota,3283
francés,barrica,3281
barrica,acidez,3274
alta,boca,3233
acidez,final,3230
capa,negro,3204
rcp,color,3200
tanino,ribete,3193
boca,negro,3190
roble,crianza,3186
rojo,roble,3166
fruta,tempranillo,3157
barrica,color,3146
picota,alta,3138
acidez,ribete,3133
acidez,rcp,3132
capa,lágrima,3099
cereza,rojo,3091
nota,capa,3060
acidez,nota,3047
barrica,capa,3047
capa,madura,3033
picota,nariz,3022
boca,final,3021
especia,color,3020
lágrima,color,3000
boca,crianza,2998
intenso,fruta,2997
capa,rcp,2995
rojo,aroma,2986
nariz,aroma,2965
largo,boca,2957
nariz,madura,2952
